"title","gmd_name","edition","isbn_issn","publisher_name","publish_year","collation","series_title","call_number","language_name","place_name","classification","notes","image","sor","authors","topics","item_code"
"Seri Dokumen Gerejawi No.117; Mendidik untuk dialog antar budaya di sekolah-sekolah katolik ; Mendidik untuk Humanisme Persaudaraan","Text","","","Departemen Dokumentasi dan Penerangan KWI","2020","90hlm; 21x15cm","","262.91 DOK m","Indonesia","Jakarta","262.91 DOK m","","cover_seri-dokumen-gerejawi-no-117-mendidik-untuk-dialog-antar-budaya-di-se-20260518095636.jpg","","<KWI><Bernadet Harini Tri Prasasti>","","<0408/26>"
"Seri Dokumen Gerejawi No. 138; C'est La Confiance","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2023","32hlm .; 15 cm x 21 cm","","262.91 DOK c","Indonesia","Jakarta","262.91 DOK c","","cover_seri-dokumen-gerejawi-no-138-c-est-la-confiance-20260518095600.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Bernadeta Harini Tri Prasati>","","<0426/26>"
"Seri Dokumen Gerejawi No. 116; Veritatis Gaudium (Sukacita Kebenaran)","Text","","","Departemen Dokumentasi dan Penerangan KWI","2020","110hlm; 21x15cm","","262.91 DOK v","Indonesia","Jakarta","262.91 DOK v","","cover_seri-dokumen-gerejawi-no-116-veritatis-gaudium-sukacita-kebenaran-20260518095315.jpg","","<KWI><Albertus Bagus Laksana>","","<0407/26>"
"Seri Dokumen Gerejawi No.137; Laudete Deum","Text","","","Departemen Dokumentasi dan Penerangan KWI","2023","36 hlm .; 15 cm x 21 cm","","262.91 DOK l","Indonesia","Jakarta","262.91 DOK l","","cover_seri-dokumen-gerejawi-no-137-laudete-deum-20260518095300.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Thomas Eddy Susanto [SCJ]>","","<0425/26>"
"Seri Dokumen Gerejawi No. 115;  Allah Menciptakan  Mereka Laki-laki dan Perempuan (Male and Female He Created Them)","Text","","","Departemen Dokumentasi dan Penerangan KWI","2020","36hlm; 21.5x15cm","","262.91 DOK a","Indonesia","Jakarta","262.91 DOK a","","cover_seri-dokumen-gerejawi-no-115-allah-menciptakan-mereka-laki-laki-da-20260518095058.jpg","","<KWI><Norberta Yati Lantok>","","<0406/26>"
"Seri Dokumen Gerejawi No. 136; Vademecum; Penanganan Perkara Pelecehan Seksual Terhadap Anak-anak Oleh Klerikus Ver. 2.0","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2023","62 hlm .; 15 cm x 21 cm","","262.91 DOK v","Indonesia","Jakarta","262.91 DOK v","","cover_seri-dokumen-gerejawi-no-136-vademecum-penanganan-perkara-pelecehan-20260518094835.jpg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Yohanes Driyanto [Pr]>","","<0424/26>"
"Seri Dokumen Gerejawi No. 135; Documenti Liturgici","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2023","45hlm .; 15 cm x 21 cm","","262.91 DOK d","Indonesia","Jakarta","262.91 DOK d","","cover_seri-dokumen-gerejawi-no-135-documenti-liturgici-20260518094427.jpg","","<Komisi Liturgi KWI><Postinus Gulo,OSC><Gereja Katolik. Konferensi Waligereja Indonesia>","","<0423/26>"
"Seri Dokumen Gerejawi No. 107; Orang Muda, Iman, Dan Penegasan Panggilan","Text","","","Departemen Dokumentasi dan Penerangan KWI","2019","95hlm; 21.5x15cm","","262.91 DOK o","Indonesia","Jakarta","262.91 DOK o","","cover_seri-dokumen-gerejawi-no-107-orang-muda-iman-dan-penegasan-panggil-20260518094013.png","","<KWI><Sr Caroline Nugroho MC>","","<0404/26>"
"Seri Dokumen Gerejawi No. 134; Katekese Lanjut Usia","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2022","110 hlm .; 15 cm x 21 cm","","262.91 DOK k","Indonesia","Jakarta","262.91 DOK k","","cover_seri-dokumen-gerejawi-no-134-katekese-lanjut-usia-20260518093922.jpeg","","<Gereja Katolik. Konferensi Waligereja Indonesia>","","<0422/26>"
"Seri Dokumen Gereja No. 103 ; Panggilan dan Misi Keluarga Dalam Gereja dan Dalam Dunia Dewasa Ini","Text","","","Departemen Dokumentasi dan Penerangan KWI","2018","77hlm; 22x15cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gereja-no-103-panggilan-dan-misi-keluarga-dalam-gereja-20260518093717.png","","<KWI><Bernadet Harini Tri Prasasti>","","<0403/26>"
"Seri Dokumen Gerejawi No. 88; Spe Salvi (Harapan yang menyelamatkan)","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","2014","56 hlm.; 15 cm x  21 cm","","262.91 DOK s","Indonesia","Jakarta","262.91 DOK s","","cover_spe-salvi-harapan-yang-menyelamatkan-20240318125847.jpeg","","<F.X. Hadisumarta><Gereja Katolik. Konferensi Waligereja Indonesia>","","<2529/23><2530/23><0400/26>"
"Seri Dokumen Gerejawi No. 15; Centesimus Annus","Text","","","Departemen Dokumentasi dan Penerangan KWI","1991","79hlm; 21x15cm","","262.91 DOK c","Indonesia","Jakarta","262.91 DOK c","","cover_seri-dokumen-gerejawi-no-15-centesimus-annus-20260513093833.jpg","","<KWI><Hardawiryana,Sj>","","<0380/26>"
"Seri Dokumen Gerejawi No. 96; Panggilan dan Perutusan Keluarga dalam Gereja dan Dunia Zaman Sekarang","Text","","","Departemen Dokumentasi dan Penerangan KWI","2015","48hlm; 21x15cm","","262.91 DOK p","Indonesia","Bogor","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-96-panggilan-dan-perutusan-keluarga-dalam-g-20260513101136.jpg","","<KWI><F.X. Adisusanto>","","<0401/26>"
"Seri Dokumen Gerejawi No. 11; Perdectae Caritatis (Cinta Kasih Sempurna)","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","1992","20 hlm.;15.5 cm x 21 cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-11-perdectae-caritatis-20260513093350.jpg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Hadiwiryana [SJ]>","","<0377/26>"
"Seri Dokumen Gerejawi No. 77; Hidup Bersama Pasangan Tanpa Nikah","Text","","","Departemen Dokumentasi dan Penerangan KWI","2011","50hlm; 22x15cm","","262.91 DOK h","Indonesia","Jakarta","262.91 DOK h","","cover_seri-dokumen-gerejawi-no-77-hidup-bersama-pasangan-tanpa-nikah-20260513104603.jpg","","<Go, Piet><KWI>","","<0397/26>"
"Seri Dokumen Gerejawi No. 82; Sel Induk","Text","","","Departemen Dokumentasi dan Penerangan KWI","2016","18hlm; 22x15cm","","262.91 DOK s","Indonesia","Jakarta","262.91 DOK s","","cover_seri-dokumen-gerejawi-no-82-sel-induk-20260513100829.jpeg","","<Go, Piet><KWI>","","<0399/26><0398/26>"
"Seri Dokumen Gerejawi  No, 52; Piagam Bagi Pelayan Kesehatan","Text","Cet. 2","","Departemen Dokumentasi dan Penerangan KWI","1996","129 hlm.;15 cm x 21 cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-52-piagam-bagi-pelayan-kesehatan-20260513104337.jpeg","","<Hardawiryana.><Gereja Katolik. Konferensi Waligereja Indonesia>","","<0393/26>"
"Seri Dokumen Gerejawi No. 72; Keluarga dan Hak-Hak Asasi","Text","","","Departemen Dokumentasi dan Penerangan KWI","2017","46hlm; 21x15cm","","262.91 DOK k","Indonesia","Jakarta","262.91 DOK k","","cover_seri-dokumen-gerejawi-no-72-keluarga-dan-hak-hak-asasi-20260513104123.jpeg","","<Go, Piet><KWI>","","<0396/26>"
"Seri Dokumen Gerejawi No. 57; Gereja di Asia (Church in Asia)","Text","","","Departemen Dokumentasi dan Penerangan KWI","2000","119hlm; 21x15cm","","262.91 DOK g","Indonesia","Jakarta","262.91 DOK g","","cover_seri-dokumen-gerejawi-no-57-gereja-di-asia-church-in-asia-20260513103742.png","","<KWI><Hardawiryana,Sj>","","<0395/26>"
"Seri Dokumen Gerejawi No. 53; Pornografi dan Kekerasan Dalam Media Komunikasi: Sebuah jawaban Pastoral ; Etika dalam Iklan","Text","","","Departemen Dokumentasi dan Penerangan KWI","1998","51hlm; 21.5x15cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-53-pornografi-dan-kekerasan-dalam-media-kom-20260513103401.jpeg","","<KWI>","","<0394/26>"
"Seri Dokumen Gerejawi No. 49;  Perkembangan Modern Kegiatan Finansial dalam terang Tuntutan-tuntutan Etika Kristiani","Text","","","Departemen Dokumentasi dan Penerangan KWI","1997","63hlm; 21x15.5cm","","262.91 DOK p","Indonesia","Jakarta","262.91 DOK p","","cover_seri-dokumen-gerejawi-no-49-perkembangan-modern-kegiatan-finansial-20260513103050.jpeg","","<KWI><Hardawiryana,Sj>","","<0391/26>"
"Seri Dokumen Gerejawi No. 50; Orientale Lumen (Terang dari Timur)","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","1996","48 hlm;15 cm x 21 cm","","262.91 DOK o","Indonesia","Jakarta","262.91 DOK o","","cover_seri-dokumen-gerejawi-no-50-orientale-lumen-terang-dari-timur-20260513103044.jpeg","","<Hardawiryana.><Gereja Katolik. Konferensi Waligereja Indonesia>","","<0392/26>"
"Seri Dokumen Gerejawi No. 39; Laborem Exercens (Dengan Bekerja)","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","1995","72 hlm.; 15 cm x 21 cm","","262.91 DOK l","Indonesia","Jakarta","262.91 DOK l","","cover_seri-dokumen-gerejawi-no-39-laborem-exercens-dengan-bekerja-20260513102448.jpg","","<Hardawiryana.><Gereja Katolik. Konferensi Waligereja Indonesia>","","<0390/26>"
"Seri Dokumen Gerejawi No. 34; Surat Kepada Keluarga-keluarga dari Paus Yohanes Paulus II","Text","","","Departemen Dokumentasi dan Penerangan KWI","1994","87hlm; 21x15cm","","262.91 DOK s","Indonesia","Jakarta","262.91 DOK s","","cover_seri-dokumen-gerejawi-no-34-surat-kepada-keluarga-keluarga-dari-paus-20260513102244.jpeg","","<KWI>","","<0388/26>"
"Seri Dokumen Gerejawi no. 35; Veritatis Splendor (Cahaya Kebenaran)","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","1994","194 hlm.;15 cm x 21 cm","","262.91 DOK v","Indonesia","Jakarta","262.91 DOK v","","cover_seri-dokumen-gerejawi-no-35-veritatis-splendor-cahaya-kebenaran-20260513102159.jpg","","<Mgr. J. Hadiwikarta><Gereja Katolik. Konferensi Waligereja Indonesia>","","<0389/26>"
"Seri Dokumen Gereja No. 98; Laudato Si ( Terpujilah Engkau)","Text","Cet. 3","","Departemen Dokumentasi dan Penerangan KWI","2018","140 hlm.;15 cm x 21 cm","","262.91 DOK l","Indonesia","Jakarta","262.91 DOK l","","cover_seri-dokumen-gereja-no-98-laudato-si-terpujilah-engkau-20260513101440.png","","<Martin Harun, OFM><Gereja Katolik. Konferensi Waligereja Indonesia>","","<0402/26>"
"Seri Dokumen Gerejawi No. 26; Aetatis Novae (Terbitnya Suatu Era Baru)","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","1992","50 hlm.;15 cm x 21 cm","","262.91 DOK a","Indonesia","Jakarta","262.91 DOK a","","cover_seri-dokumen-gerejawi-no-26-aetatis-novae-20260513095301.jpg","","<Hadiwikarta, Johanes. Mgr.><Gereja Katolik. Konferensi Waligereja Indonesia>","","<0385/26>"
"Seri Dokumen Gerejawi No. 7; Lumen Gentium (Terang Bangsa-Bangsa)","Text","","","Departemen Dokumentasi dan Penerangan KWI","1990","88 hlm.;15.5 cm x 21 cm","","262.91 DOK l","Indonesia","Jakarta","262.91 DOK l","","cover_seri-dokumen-gerejawi-no-7-lumen-gentium-20260513093034.jpg","","<Gereja Katolik. Konferensi Waligereja Indonesia><Hadiwiryana [SJ]>","","<0375/26>"
"Seri Dokumen Gerejawi No. 13; Ad Gentes ( Kepada semua Bangsa)","Text","Cet. 3","","Departemen Dokumentasi dan Penerangan KWI","2017","55 hlm.;15 cm x 21 cm","","262.91 DOK a","Indonesia","Jakarta","262.91 DOK a","","cover_seri-dokumen-gerejawi-no-13-ad-gentes-20260513094441.png","","<Hardawiryana.><Gereja Katolik. Konferensi Waligereja Indonesia>","","<0379/26>"
"Seri Dokumen Gerejawi No. 23; Inter Mirifica (Dekrit tentang upaya-upaya komunikasi sosial) ; Gravissimum Edicationis (Pernyataan tentang pendidikan Kristen).","Text","Cet. 1","","Departemen Dokumentasi dan Penerangan KWI","1992","35 hlm.;15.3 cm x 21 cm","","262.91 DOK i","Indonesia","Jakarta","262.91 DOK i","","cover_seri-dokumen-gerejawi-no-23-inter-mirifica-gravissimum-edicationis-20260513094829.jpg","","<Hardawiryana.><Gereja Katolik. Konferensi Waligereja Indonesia>","","<0383/26>"
"Seri Dokumen Gerejawi No. 33; Kedamaian dan Keluarga","Text","","","Departemen Dokumentasi dan Penerangan KWI","1994","35hlm; 21x15cm","","262.91 DOK k","Indonesia","Jakarta","262.91 DOK k","","cover_seri-dokumen-gerejawi-no-33-kedamaian-dan-keluarga-20260513100315.jpeg","","<KWI><Alfons S.Suhardi>","","<0387/26>"
"Seri Dokumen Gerejawi No. 32; Mulieris Dignitatem (Martabat Kaum Wanita)","Text","","","Departemen Dokumentasi dan Penerangan KWI","1994","86hlm; 21x15cm","","262.91 DOK m","Indonesia","Jakarta","262.91 DOK m","","cover_seri-dokumen-gerejawi-no-32-mulieris-dignitatem-martabat-kaum-wanit-20260513095738.jpg","","<KWI><Konrad Ujan>","","<0386/26>"
"Seri Dokumen Gerejawi No. 24; Index Analitis (Dokumen dokumen)","Text","","","Departemen Dokumentasi dan Penerangan KWI","1992","42hlm; 21x15cm","","262.91 DOK i","Indonesia","Bogor","262.91 DOK i","","cover_seri-dokumen-gerejawi-no-24-index-analitis-dokumen-dokumen-20260513095017.jpeg","","<R. Hardawirjana><KWI>","","<0384/26>"
"Seri Dokumen Gerejawi No. 22; Optatam Totius","Text","","","Departemen Dokumentasi dan Penerangan KWI","1992","41hlm; 21x15cm","","262.91 DOK o","Indonesia","Jakarta","262.91 DOK o","","cover_seri-dokumen-gerejawi-no-22-optatam-totius-20260513094510.jpg","","<KWI><Hardawiryana,Sj>","","<0382/26>"
